feedback_id,user_id,feedback_timestamp,feedback_text,rating
F00062,U00062,2022-12-10 09:12:09,Outstanding performance!,4.2
F00063,U00063,2023-03-22 06:15:09,Excellent service! Keep up the good work!,4.9
F00064,U00064,2021-02-19 04:26:45,Impressed with the quality of service.,4.7
F00065,U00065,2023-12-19 18:25:49,Good value for money.,4.4
F00066,U00066,2023-06-30 05:53:00,Very satisfied with the product.,4.5
F00067,U00067,2023-02-07 10:55:07,Very satisfied with the product.,4.7
F00068,U00068,2022-04-25 13:27:05,Appreciate the assistance received.,4.9
F00069,U00069,2021-12-02 22:20:14,Impressed with the quality of service.,5.0
F00070,U00070,2020-06-25 05:33:08,Impressed with the quality of service.,4.2
F00071,U00071,2021-05-27 22:31:38,Outstanding performance!,4.6
F00072,U00072,2022-05-22 03:47:15,Highly recommend!,4.9
F00073,U00073,2022-01-10 04:33:54,Very satisfied with the product.,4.4
F00074,U00074,2020-01-06 19:21:18,Appreciate the assistance received.,4.3
F00075,U00075,2023-10-26 03:02:59,Outstanding performance!,4.4
F00076,U00076,2021-06-25 06:47:43,Excellent service! Keep up the good work!,4.4
F00077,U00077,2021-01-23 11:04:57,Good value for money.,4.5
F00078,U00078,2020-06-30 15:57:55,Smooth transaction process.,4.0
F00079,U00079,2022-11-22 23:59:56,Prompt response from customer support.,5.0
F00080,U00080,2023-04-24 14:59:12,Good value for money.,4.5
F00081,U00081,2023-07-20 19:06:59,Prompt response from customer support.,5.0
F00082,U00082,2023-01-06 10:48:45,Great experience overall.,5.0
F00083,U00083,2020-10-31 16:26:56,Excellent service! Keep up the good work!,4.8
F00084,U00084,2023-05-17 07:11:09,Highly recommend!,4.5
F00085,U00085,2024-03-23 04:25:20,Outstanding performance!,4.1
F00086,U00086,2020-11-08 09:59:26,Very satisfied with the product.,4.8
F00087,U00087,2022-01-22 11:58:09,Excellent service! Keep up the good work!,4.5
F00088,U00088,2020-12-15 16:05:40,Outstanding performance!,4.7
F00089,U00089,2024-03-03 14:11:28,Very satisfied with the product.,4.3
F00090,U00090,2020-03-17 09:54:24,Highly recommend!,4.0
F00091,U00091,2020-08-15 14:31:59,Very satisfied with the product.,4.1
F00092,U00092,2021-12-13 16:59:20,Impressed with the quality of service.,4.5
F00093,U00093,2022-10-31 04:52:46,Great experience overall.,4.4
F00094,U00094,2023-03-04 20:31:07,Great experience overall.,4.8
F00095,U00095,2020-11-20 05:26:47,Highly recommend!,4.4
F00096,U00096,2021-11-12 14:10:18,Good value for money.,4.1
F00097,U00097,2023-12-25 10:50:57,Appreciate the assistance received.,4.4
F00098,U00098,2020-09-17 14:50:25,Appreciate the assistance received.,4.4
F00099,U00099,2022-10-28 10:09:29,Appreciate the assistance received.,5.0
F00100,U00100,2023-09-07 19:03:09,Impressed with the quality of service.,4.9
